published_date,country,title,deadline,url,description,funding_agency,reference_number,document_links
"Apr 18, 2025",International,Audit du projet FAME,"May 22, 2025",https://tenders-afd.dgmarket.com/tender/93008519,N/A,N/A,N/A,[]
"Apr 16, 2025",Benin,"Procès-verbal d'ouverture : Acquisition de six (06) bus dont trois (03) de 30 places, un (01) de 50 places et deux (02) de 70 places au profit de OBSSU, UNSTIM, SGDS et MDN",,https://tenders-afd.dgmarket.com/tender/92935607,N/A,N/A,N/A,[]
"Apr 16, 2025",Benin,Avis d’attribution provisoire relative à l’acquisition d’outillages électriques de la composante « Travaux » du PROMER,,https://tenders-afd.dgmarket.com/tender/92924751,N/A,N/A,N/A,[]
"Apr 16, 2025",Tunisia,Projet de construction d’un hôpital pluridisciplinaire dans la ville de Gafse en Tunisie,"Jun 16, 2025",https://tenders-afd.dgmarket.com/tender/92924755,N/A,N/A,N/A,[]
"Apr 15, 2025",Ethiopia,"Procurement Of Prosseding, Not Book, A","Apr 30, 2025",https://tenders-afd.dgmarket.com/tender/92886359,N/A,N/A,N/A,[]
"Apr 15, 2025",Côte d'Ivoire,"AVIS DE PREQUALIFICATION N°S66/2025 RELATIF AUX TRAVAUX DE RENFORCEMENT DE LA ROUTE DU NORD : SECTIONS OUANGOLODOUGOU – FRONTIERE MALI (100 KM), OUANGOLODOUGOU – FRONTIERE BURKINA FASO (32 KM) ET 30 KM DE VOIRIES URBAINES ASSOCIEES","May 9, 2025",https://tenders-afd.dgmarket.com/tender/92872906,N/A,N/A,N/A,[]
"Apr 14, 2025",Ghana,SYP-2025-0096 - ETUDE DE FAISABILITE POUR L’ANALYSE DE L’ECOSYSTEME ENTREPRENEURIAL AU GHANA ET LA STRUCTURATION D’UN PROJET D’APPUI A L’ENTREPRENEURIAT FEMININ,"May 9, 2025",https://tenders-afd.dgmarket.com/tender/92567966,N/A,N/A,N/A,[]
"Apr 14, 2025",Palestine,"Design, Supply, and Installation of a Wind farm plant in Tubas.","Jul 15, 2025",https://tenders-afd.dgmarket.com/tender/92852001,N/A,N/A,N/A,[]
"Apr 14, 2025",Turkey,Mersin Erdemli District Tömük - Arpaçbahşiş Neighborhood Sewerage Project,"Jun 13, 2025",https://tenders-afd.dgmarket.com/tender/92777261,N/A,N/A,N/A,[]
